Problem_ID,y_Target,Newton_absTime,Newton_iterSteps,GMGF_absTime,GMGF_iterSteps,x0,f(x0),f'(x0),f''(x0),kappa
P_6df524809c0e17b4,-6667.2,0.0004773,12,0.000391986,12,-1.6192952519139148,-495.87481934505985,3067.586536317029,-17029.986809789763,0
P_19db1995b3211367,0.680819,0.000316296,6,0.000258836,5,4.836071204733724,0.43190641450178574,-0.11133562971289475,0.02869978779515339,2
P_7e7ee7e7bb056614,2.96575,0.00343421,70,0.408562,1500,4.316091366115302,-0.9897107949030817,-0.7747399013692394,4.521958184690318,8
P_6977250d083ed3fa,7500.0,0.000295008,7,0.000408801,7,-4.298433215273121,27103.094239749407,-44151.28596816435,61630.79827087408,0
P_49d5322b2f79676d,359.671,0.000435531,10,0.000640437,10,-7.788940124765553,-2586.212556489036,908.5216845632701,-222.63393029893592,0
P_157ac4730b0de7b3,0.923192,0.000220803,4,0.000456401,4,7.647260901620108,0.9162444652126122,-0.7244742100741433,-0.4181734718057266,-1
P_1c0357fe4d8a9a74,-1.81113,0.000303015,6,0.00114956,13,0.1452289147480382,1.1152210474081818,4.7589064270077905,-2088.325505032866,-25
P_6dc5742367a4c8c7,0.568402,0.000215996,5,0.000463057,5,3.2399321708615947,0.6451157464021732,-0.4417467764659848,0.2629003189255318,1
P_1e7442839f1fd33,50.0661,0.000236853,6,0.000191391,6,12.460818755376934,40.90245816178653,1.8286295876534666,-0.15771630668442324,0
P_668ff5f87e3d2e6,-2500.0,0.00335824,77,0.00746795,77,-0.8108441062203724,2.88321832402172,33.637653889953846,-452.42422418095435,0
P_6ca88c5c98f9fe82,-3.4494,0.000215367,5,0.00023404,5,3.5382369173188923,-3.2592545099276267,-0.6753408378692206,0.1848111929536018,0
P_42050258b8771095,-2.88827,0.00018547,4,0.000139952,4,2.501621422501172,-2.8552564702552945,0.30003258139647404,-0.03152765814112068,0
P_4a5c0cf73ef5a0db,0.762677,0.000361402,9,0.000412492,6,1.2126642538982573,0.15099160822929344,-0.41113784982207563,1.1116154243201242,7
P_6dc5742367a4c8c7,2.60164,0.000386716,10,0.000536074,6,3.2399321708615947,0.6451157464021732,-0.4417467764659848,0.2629003189255318,1
P_55dbffa8b6830036,3.10154,0.000215508,5,0.000182721,5,0.7806619947384972,2.7548484262396964,-0.6926662514834354,0.17416077464523566,0
P_975a145410dd91,-2162.04,0.000300565,7,0.000226018,7,-4.192753272101406,214.32846917225916,-159.93616252071422,82.29182688787782,0
P_354050d2498557cd,0.0974961,0.000396143,8,0.000913688,8,0.7098372717554309,0.15238004606360062,-0.15824195895704588,-0.42323278195495917,-17
P_6cc10a1afeed7f20,-2042.24,0.000331264,6,0.000324961,6,-8.586851259873182,2571.5692183462306,5834.9001589980235,-17341.824734312384,0
P_9daf33d99847937,58.7072,0.000206101,5,0.000158156,5,389.5378180674106,50.99919565721921,0.07400645635317042,-9.60026321711315e-05,0
P_4049e84ae5dda77c,28.9319,0.000204343,5,0.000180641,5,18.46140686616605,29.85162911096108,0.48188289297203163,-0.05415175028878377,0
P_7e12f8178121d2e,0.0352274,0.000282469,7,0.000582875,6,7.260536959813496,0.015186820693709916,-0.01044896932682534,0.00686651404819742,25
P_4d8141a4912db629,74.8141,0.000270552,7,0.000322771,12,1248.130412025468,119.08028420936574,0.015161290967693601,-3.507355327768969e-05,0
P_4d5273c59b2d9768,-3.78438,0.000269621,6,0.000230348,6,4.616123939024709,-2.8529924178731925,0.32692840159446984,-0.03746318395363698,0
P_dce5b403cb9c51d,-0.330216,0.000227066,4,0.00031862,5,3.2708112734711285,-0.14724536255060458,0.05508638325784404,-0.020608524220157996,-7
P_188a3c619fb6985c,0.929764,0.00039511,8,0.00199579,7,9.695812106801945,0.7561531565180984,-0.7740896103789264,-1.1676892131802394,-2
P_322b117766dc1f6f,4159.68,0.0012927,36,0.00104362,36,0.3098085371090811,-9.737684005348802,-6.446670687739803,-5.435343961995223,0
P_14893a1c35c59d9,0.155119,0.000306957,6,0.000318133,4,0.4537390491441826,0.16885570931529298,0.16702719162830776,-0.7543231728311102,-25
P_287fc41ced057337,-16.0289,0.000307459,6,0.00179956,6,9.595691119422959,-25.802217642114897,-13.90293963276342,18.27889851962824,0
P_4a5c0cf73ef5a0db,1.62069,0.000532221,14,0.000461348,7,1.2126642538982573,0.15099160822929344,-0.41113784982207563,1.1116154243201242,7
P_59d00c5fed9acfab,0.273701,0.000265737,5,0.000502449,5,0.6214795922897292,0.3960591848953664,-0.8322101907565611,-6.033636825220615,-9
P_673d2666e81f1e8d,1.14951,0.000574333,12,0.000451444,3,1.2356322267773212,1.3433816396209137,-0.3131684022090994,0.3477138018883259,4
P_7ba54870f9955a44,-0.270756,0.000255102,6,0.000451214,5,1.5849438368781303,-0.19541193600413548,0.31493670707936483,-0.4491820941973994,-5
P_130f7768a2912490,42.4754,0.0477857,1500,0.00019377,6,312.1174097206145,57.558724689390004,0.012677475006807225,-0.00016679785308867402,-1
P_14221c72c9a50719,7038.89,0.000307686,8,0.000228031,8,281.91158333850734,2564.6037958048064,-135.33933422271932,8.102285130489049,0
P_4ca971d3e04f36e5,-2495.82,0.000289288,6,0.000283467,6,-2.0143513185684583,-4537.2035441322905,21739.515649477813,-92939.13754592594,0
P_77027e42c6f919b,4.53659,0.000236456,6,0.000294021,6,81.29549066871698,6.160878722919122,0.03951507396204016,-0.0005766922865880614,0
P_353e7754b05b14c1,0.963009,0.000263717,5,0.0001837,4,2.554530331836262,1.1114359124169655,-0.15159803732516772,0.020677723892208597,1
P_7cc965f904d9aed,-0.113505,0.000382796,7,0.0014677,5,-2.420204988739293,0.7604969128454644,1.3168272903081926,-3.1062618436854175,-2
P_2df6edb776c5a32a,401.066,0.000278652,7,0.000205347,7,287.84928246501215,234.62394085276992,-8.49926147552296,0.36693963420102865,0
P_97d90abda0eda29,1232.45,0.000720096,16,0.000923627,16,1.2835333957579032,-26.264550790089277,-61.69356382096546,-73.80072903783329,0
P_4ec4c6a6987e70f9,19.3546,0.000206152,5,0.000171775,5,53.29794291239796,21.410380861467488,0.269245755729611,-0.0038047836815267165,0
P_350acba1d8e0b206,-0.145534,0.000255154,6,0.00044179,5,1.112063282577421,-0.08835152457688994,0.12543798119764055,-0.17809180272257524,-11
P_7e12f8178121d2e,0.257066,0.00089462,25,0.00096009,10,7.260536959813496,0.015186820693709916,-0.01044896932682534,0.00686651404819742,25
P_4b36bfa0817ba91e,144.091,0.000554941,9,0.000464423,9,3.2085440201530844,210.9000469770674,-56.56874990217715,-508.3477544880684,0
P_62515f67253729bb,259.894,0.000289011,6,0.0116368,210,-4.791678721056218,214.7133327440016,410.609103251982,-786.3745956863683,0
P_356900fc301cae8f,32.2704,0.000237474,6,0.000181296,6,320.43246389446176,19.382813998827103,0.09447751164981977,-0.00013016479101667623,0
